,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1158,Harbhajan Singh,13,12,31.5,270,7,Feb-22,38.57,8.48,27.28,0,0
1159,Harshal Patel,5,5,17.3,167,7,Mar-28,23.85,9.54,15,0,0
1160,Mohit Sharma,9,9,29.4,322,7,Feb-33,46,10.85,25.42,0,0
1161,Rahul Tewatia,8,8,22,173,6,Mar-18,28.83,7.86,22,0,0
1162,Shane Watson,15,11,28,251,6,Feb-29,41.83,8.96,28,0,0
1163,Imran Tahir,6,6,20.4,188,6,Feb-34,31.33,9.09,20.66,0,0
1164,Tom Curran,5,5,10.1,118,6,Feb-19,19.66,11.6,10.16,0,0
1165,Ish Sodhi,6,6,23,135,5,Jan-14,27,5.86,27.6,0,0
1166,Sandeep Lamichhane,3,3,12,82,5,Mar-36,16.4,6.83,14.4,0,0
1167,Billy Stanlake,4,4,16,130,5,Feb-21,26,8.12,19.2,0,0
1168,Glenn Maxwell,12,10,16,132,5,Feb-22,26.4,8.25,19.2,0,0
1169,Tim Southee,8,8,29,261,5,Mar-30,52.2,9,34.8,0,0
1170,Carlos Brathwaite,4,4,10.1,94,5,Feb-15,18.8,9.24,12.2,0,0
1171,Shivam Mavi,9,9,28,270,5,Jan-14,54,9.64,33.6,0,0
1172,Basil Thampi,4,4,10.1,114,5,02-Apr,22.8,11.21,12.2,0,0
1173,Nitish Rana,15,5,6.1,44,4,02-Nov,11,7.13,9.25,0,0
1174,Dan Christian,4,4,11.5,101,4,Feb-35,25.25,8.53,17.75,0,0
1175,Liam Plunkett,7,7,25,225,4,Mar-17,56.25,9,37.5,0,0
1176,Karn Sharma,6,5,9.3,89,4,Feb-13,22.25,9.36,14.25,0,0
1177,Dhawal Kulkarni,8,8,19.5,188,4,Feb-32,47,9.47,29.75,0,0
1178,Washington Sundar,7,7,20,192,4,Feb-22,48,9.6,30,0,0
1179,Barinder Sran,6,6,22,229,4,Feb-50,57.25,10.4,33,0,0
1180,Avesh Khan,6,6,19,204,4,Feb-29,51,10.73,28.5,0,0
1181,Moeen Ali,5,5,13.1,97,3,Jan-13,32.33,7.36,26.33,0,0
1182,Murugan Ashwin,2,2,7,53,3,Feb-36,17.66,7.57,14,0,0
1183,Axar Patel,9,8,26,218,3,Jan-21,72.66,8.38,52,0,0
1184,Chris Morris,4,4,14,143,3,Feb-41,47.66,10.21,28,0,0
1185,Mohammad Shami,4,4,13.5,144,3,Jan-29,48,10.4,27.66,0,0
1186,Shahbaz Nadeem,6,6,15,161,3,Feb-34,53.66,10.73,30,0,0
1187,Marcus Stoinis,7,6,11,120,3,Jan-15,40,10.9,22,0,0
1188,KM Asif,2,2,6,75,3,Feb-43,25,12.5,12,0,0
1189,Corey Anderson,3,3,8.4,115,3,Feb-47,38.33,13.26,17.33,0,0
1190,Colin de Grandhomme,9,7,15,129,2,01-Aug,64.5,8.6,45,0,0
1191,David Willey,3,3,10,95,2,Jan-24,47.5,9.5,30,0,0
1192,Kulwant Khejroliya,3,3,10.5,107,2,Feb-33,53.5,9.87,32.5,0,0
